Designator,Mid X,Mid Y,Rotation,Layer
C1,186.6,-70.1,90.0,top
C10,190.0,-72.12,90.0,top
C11,187.4,-87.9,270.0,top
C12,185.6,-69.08,270.0,top
C13,192.08,-73.5,0.0,top
C14,182.3,-73.92,90.0,top
C15,181.2,-78.5,180.0,top
C16,187.1,-83.28,270.0,top
C17,183.2,-98.02,90.0,top
C18,187.1,-51.3,270.0,top
C2,192.08,-64.3,180.0,top
C3,190.38,-70.7,0.0,top
C4,188.1,-83.28,270.0,top
C5,192.12,-69.5,180.0,top
C6,192.1,-78.2,0.0,top
C7,187.6,-70.1,90.0,top
C8,184.1,-84.7,0.0,top
C9,192.08,-74.5,0.0,top
D1,58.0,-97.0,270.0,top
D10,96.0,-73.1875,270.0,top
D11,96.0,-54.1375,270.0,top
D12,96.0,-35.0875,270.0,top
D13,115.0,-89.85625,270.0,top
D14,115.0,-70.80625,270.0,top
D15,115.0,-51.75625,270.0,top
D16,115.0,-32.70625,270.0,top
D17,134.0,-92.2375,270.0,top
D18,134.0,-73.1875,270.0,top
D19,134.0,-54.1375,270.0,top
D2,58.0,-77.95,270.0,top
D20,134.0,-35.0875,270.0,top
D21,153.0,-94.61875,270.0,top
D22,153.0,-75.56875,270.0,top
D23,153.0,-56.51875,270.0,top
D24,153.0,-37.46875,270.0,top
D25,172.0,-85.09375,270.0,top
D26,172.0,-66.04375,270.0,top
D27,172.0,-46.99375,270.0,top
D28,58.0,-116.05,270.0,top
D29,77.0,-116.05,270.0,top
D3,58.0,-58.9,270.0,top
D30,96.0,-111.2875,270.0,top
D31,115.0,-108.90625,270.0,top
D32,145.808203,-121.880674,240.0,top
D33,159.998906,-113.301655,330.0,top
D34,178.803771,-140.930674,240.0,top
D35,188.328771,-124.43289,240.0,top
D4,58.0,-39.85,270.0,top
D5,77.0,-97.0,270.0,top
D6,77.0,-77.95,270.0,top
D7,77.0,-58.9,270.0,top
D8,77.0,-39.85,270.0,top
D9,96.0,-92.2375,270.0,top
LED1,50.0,-95.3,0.0,top
LED10,88.0,-71.4875,180.0,top
LED11,88.0,-52.4375,0.0,top
LED12,88.0,-33.3875,180.0,top
LED13,107.0,-88.15625,0.0,top
LED14,107.0,-69.10625,180.0,top
LED15,107.0,-50.05625,0.0,top
LED16,107.0,-31.00625,180.0,top
LED17,126.0,-90.5375,0.0,top
LED18,126.0,-71.4875,180.0,top
LED19,126.0,-52.4375,0.0,top
LED2,50.0,-76.25,180.0,top
LED20,126.0,-33.3875,180.0,top
LED21,145.0,-92.91875,0.0,top
LED22,145.0,-73.86875,180.0,top
LED23,145.0,-54.81875,0.0,top
LED24,145.0,-35.76875,180.0,top
LED25,164.0,-83.39375,0.0,top
LED26,164.0,-64.34375,180.0,top
LED27,164.0,-45.29375,180.0,top
LED28,50.0,-114.35,180.0,top
LED29,69.0,-114.35,180.0,top
LED3,50.0,-57.2,0.0,top
LED30,88.0,-109.5875,180.0,top
LED31,107.0,-107.20625,180.0,top
LED32,139.73,-116.408431,150.0,top
LED33,154.526663,-119.379858,60.0,top
LED34,172.725568,-135.458431,150.0,top
LED35,182.250568,-118.960647,330.0,top
LED4,50.0,-38.15,180.0,top
LED5,69.0,-95.3,0.0,top
LED6,69.0,-76.25,180.0,top
LED7,69.0,-57.2,0.0,top
LED8,69.0,-38.15,180.0,top
LED9,88.0,-90.5375,0.0,top
R1,186.0,-84.1,90.0,top
R2,188.1,-67.39,270.0,top
R3,189.1,-67.38,270.0,top
R4,181.7,-56.0,180.0,top
R5,184.1,-59.825,270.0,top
R7,178.1,-47.6,180.0,top
R9,182.2,-48.19,270.0,top
S1,50.0,-100.0,0.0,top
S10,88.0,-76.1875,0.0,top
S11,88.0,-57.1375,0.0,top
S12,88.0,-38.0875,0.0,top
S13,107.0,-92.85625,0.0,top
S14,107.0,-73.80625,0.0,top
S15,107.0,-54.75625,0.0,top
S16,107.0,-35.70625,0.0,top
S17,126.0,-95.2375,0.0,top
S18,126.0,-76.1875,0.0,top
S19,126.0,-57.1375,0.0,top
S2,50.0,-80.95,0.0,top
S20,126.0,-38.0875,0.0,top
S21,145.0,-97.61875,0.0,top
S22,145.0,-78.56875,0.0,top
S23,145.0,-59.51875,0.0,top
S24,145.0,-40.46875,0.0,top
S25,164.0,-88.09375,0.0,top
S26,164.0,-69.04375,0.0,top
S27,164.0,-49.99375,0.0,top
S28,50.0,-119.05,0.0,top
S29,69.0,-119.05,0.0,top
S3,50.0,-61.9,0.0,top
S30,88.0,-114.2875,0.0,top
S31,107.0,-111.90625,0.0,top
S32,137.38,-120.47875,330.0,top
S33,158.596983,-121.729858,60.0,top
S34,170.375568,-139.52875,330.0,top
S35,179.900568,-123.030966,330.0,top
S4,50.0,-42.85,0.0,top
S5,69.0,-100.0,0.0,top
S6,69.0,-80.95,0.0,top
S7,69.0,-61.9,0.0,top
S8,69.0,-42.85,0.0,top
S9,88.0,-95.2375,0.0,top
U1,191.65,-66.9375,90.0,top
U2,186.9625,-77.2,0.0,top
U3,182.195,-65.5,180.0,top
U4,183.3,-50.9,0.0,top
U5,182.45,-109.2,270.0,top
USB1,180.8,-43.4235,180.0,top
Y1,185.2,-87.5,270.0,top
